PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"37659604","PaxDb 5.0: Curated Protein Quantification Data Suggests Adaptive Proteome Changes in Yeasts","Huang Q, Szklarczyk D, Wang M, Simonovic M, von Mering C.","Mol Cell Proteomics. 2023 Oct;22(10):100640. doi: 10.1016/j.mcpro.2023.100640. Epub 2023 Aug 31.","Huang Q","Mol Cell Proteomics","2023","2023/09/02","PMC10551891","","10.1016/j.mcpro.2023.100640"
"39483238","Selectivity of Complex Coacervation in Multiprotein Mixtures","Ahn SY, Obermeyer AC.","JACS Au. 2024 Sep 17;4(10):3800-3812. doi: 10.1021/jacsau.4c00399. eCollection 2024 Oct 28.","Ahn SY","JACS Au","2024","2024/11/01","PMC11522905","","10.1021/jacsau.4c00399"
"40823814","Chemical crosslinking extends and complements UV crosslinking in analysis of RNA/DNA nucleic acid-protein interaction sites by mass spectrometry","Welp LM, Wulf A, Chernev A, Horokhovskyi Y, Moshkovskii S, Dybkov O, Neumann P, Pašen M, Siraj A, Raabe M, Göthert H, Walshe JL, Infante DA, de A P Schwarzer AC, Dickmanns A, Johannsson S, Schmitzová J, Wohlgemuth I, Netz E, He Y, Fritzemeier K, Delanghe B, Viner R, Vos SM, Oberbeckmann E, Bohnsack KE, Bohnsack MT, Cramer P, Ficner R, Kohlbacher O, Liepe J, Sachsenberg T, Urlaub H.","Nucleic Acids Res. 2025 Aug 11;53(15):gkaf727. doi: 10.1093/nar/gkaf727.","Welp LM","Nucleic Acids Res","2025","2025/08/18","PMC12359043","","10.1093/nar/gkaf727"
"38717300","Integrated Proteomics Analysis of Baseline Protein Expression in Pig Tissues","Wang S, Collins A, Prakash A, Fexova S, Papatheodorou I, Jones AR, Vizcaíno JA.","J Proteome Res. 2024 Jun 7;23(6):1948-1959. doi: 10.1021/acs.jproteome.3c00741. Epub 2024 May 8.","Wang S","J Proteome Res","2024","2024/05/08","PMC11165573","","10.1021/acs.jproteome.3c00741"
"40141996","Beyond Static Tethering at Membrane Contact Sites: Structural Dynamics and Functional Implications of VAP Proteins","Kodama TS, Furuita K, Kojima C.","Molecules. 2025 Mar 8;30(6):1220. doi: 10.3390/molecules30061220.","Kodama TS","Molecules","2025","2025/03/27","PMC11944328","","10.3390/molecules30061220"
"40379916","Modelling Population-Level Hes1 Dynamics: Insights from a Multi-framework Approach","Menz G, Engblom S.","Bull Math Biol. 2025 May 16;87(6):74. doi: 10.1007/s11538-025-01447-9.","Menz G","Bull Math Biol","2025","2025/05/16","PMC12084287","","10.1007/s11538-025-01447-9"
"40593928","Temporal analysis of doxorubicin-induced cardiac toxicity and hypertrophy","Lin YT, Lee YJ, Tseng WW, Chen ZH, Hsieh HC, Lin KH, Su JY, Wei AC.","NPJ Syst Biol Appl. 2025 Jul 1;11(1):67. doi: 10.1038/s41540-025-00545-7.","Lin YT","NPJ Syst Biol Appl","2025","2025/07/02","PMC12219892","","10.1038/s41540-025-00545-7"
"38612495","Discrimination of Etiologically Different Cholestasis by Modeling Proteomics Datasets","Guerrero L, Vindel-Alfageme J, Hierro L, Stark L, Vicent D, Sorzano CÓS, Corrales FJ.","Int J Mol Sci. 2024 Mar 26;25(7):3684. doi: 10.3390/ijms25073684.","Guerrero L","Int J Mol Sci","2024","2024/04/13","PMC11011353","","10.3390/ijms25073684"
"40048608","A Short-Term View of Protein Sequence Evolution from Salmonella","Cherry JL.","Genome Biol Evol. 2025 Mar 6;17(3):evaf040. doi: 10.1093/gbe/evaf040.","Cherry JL","Genome Biol Evol","2025","2025/03/06","PMC11925014","","10.1093/gbe/evaf040"
"40715203","A complex between IF2 and NusA suggests early coupling of transcription-translation","Metelev M, Johansson M.","Nat Commun. 2025 Jul 26;16(1):6906. doi: 10.1038/s41467-025-62207-w.","Metelev M","Nat Commun","2025","2025/07/27","PMC12297416","","10.1038/s41467-025-62207-w"
"40804711","Emerging Roles of Biomolecular Condensates in Pre-mRNA 3' End Processing","Yoon Y, Liu L, Quan C, Shi Y.","Wiley Interdiscip Rev RNA. 2025 Jul-Aug;16(4):e70024. doi: 10.1002/wrna.70024.","Yoon Y","Wiley Interdiscip Rev RNA","2025","2025/08/14","PMC12441778","","10.1002/wrna.70024"
"39519173","Link Between Individual Codon Frequencies and Protein Expression: Going Beyond Codon Adaptation Index","Zaytsev K, Bogatyreva N, Fedorov A.","Int J Mol Sci. 2024 Oct 29;25(21):11622. doi: 10.3390/ijms252111622.","Zaytsev K","Int J Mol Sci","2024","2024/11/09","PMC11546221","","10.3390/ijms252111622"
"39783932","Effective Gene Expression Prediction and Optimization from Protein Sequences","Liu T, Zhang Y, Li Y, Xu G, Gao H, Wang P, Tu T, Luo H, Wu N, Yao B, Liu B, Guan F, Huang H, Tian J.","Adv Sci (Weinh). 2025 Feb;12(8):e2407664. doi: 10.1002/advs.202407664. Epub 2025 Jan 9.","Liu T","Adv Sci (Weinh)","2025","2025/01/09","PMC11848636","","10.1002/advs.202407664"
"39979996","catGRANULE 2.0: accurate predictions of liquid-liquid phase separating proteins at single amino acid resolution","Monti M, Fiorentino J, Miltiadis-Vrachnos D, Bini G, Cotrufo T, Sanchez de Groot N, Armaos A, Tartaglia GG.","Genome Biol. 2025 Feb 20;26(1):33. doi: 10.1186/s13059-025-03497-7.","Monti M","Genome Biol","2025","2025/02/20","PMC11843755","","10.1186/s13059-025-03497-7"
"40746547","TOX, through a glass, darkly","Hogan PG, Villalobos Reveles B, Arteaga Vazquez LJ.","Front Immunol. 2025 Jul 17;16:1576468. doi: 10.3389/fimmu.2025.1576468. eCollection 2025.","Hogan PG","Front Immunol","2025","2025/08/01","PMC12311638","","10.3389/fimmu.2025.1576468"
"39880082","Proteomic Diversity in Bacteria: Insights and Implications for Bacterial Identification","Abele M, Soleymaniniya A, Bayer FP, Lomp N, Doll E, Meng C, Neuhaus K, Scherer S, Wenning M, Wantia N, Kuster B, Wilhelm M, Ludwig C.","Mol Cell Proteomics. 2025 Mar;24(3):100917. doi: 10.1016/j.mcpro.2025.100917. Epub 2025 Jan 27.","Abele M","Mol Cell Proteomics","2025","2025/01/29","PMC11919601","","10.1016/j.mcpro.2025.100917"
"38645170","A Ratiometric Catalog of Protein Isoform Shifts in the Cardiac Fetal Gene Program","Han Y, Binti S, Wennersten SA, Pandi B, Ng DCM, Lau E, Lam MPY.","bioRxiv [Preprint]. 2025 May 31:2024.04.09.588716. doi: 10.1101/2024.04.09.588716.","Han Y","bioRxiv","2025","2024/04/22","PMC11030362","","10.1101/2024.04.09.588716"
"38895392","NCOA4 initiates ferritinophagy by binding GATE16 using two highly avid short linear interaction motifs","Lee A, Davis JH.","bioRxiv [Preprint]. 2024 Jun 9:2024.06.09.597909. doi: 10.1101/2024.06.09.597909.","Lee A","bioRxiv","2024","2024/06/19","PMC11185777","","10.1101/2024.06.09.597909"
"39906584","Does metabolic rate influence genome-wide amino acid composition in the course of animal evolution?","Wang W, Zhang DX.","Evol Lett. 2024 Nov 8;9(1):137-149. doi: 10.1093/evlett/qrae061. eCollection 2025 Feb.","Wang W","Evol Lett","2024","2025/02/05","PMC11790228","","10.1093/evlett/qrae061"
"40506605","Cross-species translational modelling of targeted therapeutic oligonucleotides using physiologically based pharmacokinetics","Derbalah A, Stader F, Liu C, Zyla A, Abdulla T, Wu Q, Jamei M, Gardner I, Sepp A.","J Pharmacokinet Pharmacodyn. 2025 Jun 12;52(4):35. doi: 10.1007/s10928-025-09980-9.","Derbalah A","J Pharmacokinet Pharmacodyn","2025","2025/06/12","PMC12162790","","10.1007/s10928-025-09980-9"
"40048509","Macroevolutionary divergence of gene expression driven by selection on protein abundance","Cope AL, Schraiber JG, Pennell M.","Science. 2025 Mar 7;387(6738):1063-1068. doi: 10.1126/science.ads2658. Epub 2025 Mar 6.","Cope AL","Science","2025","2025/03/06","PMC12314801","NIHMS2100044","10.1126/science.ads2658"
"39802156","Modeling coding sequence design for virus-based expression in tobacco","Burghardt M, Tuller T.","Synth Syst Biotechnol. 2024 Dec 11;10(2):337-345. doi: 10.1016/j.synbio.2024.12.002. eCollection 2025 Jun.","Burghardt M","Synth Syst Biotechnol","2024","2025/01/13","PMC11718241","","10.1016/j.synbio.2024.12.002"
"39867669","Disentangling protein metabolic costs in human cells and tissues","Chagoyen M, Poyatos JF.","PNAS Nexus. 2025 Jan 16;4(1):pgaf008. doi: 10.1093/pnasnexus/pgaf008. eCollection 2025 Jan.","Chagoyen M","PNAS Nexus","2025","2025/01/27","PMC11759310","","10.1093/pnasnexus/pgaf008"
"39484408","A genome-to-proteome atlas charts natural variants controlling proteome diversity and forecasts their fitness effects","Jakobson CM, Hartl J, Trébulle P, Mülleder M, Jarosz DF, Ralser M.","bioRxiv [Preprint]. 2024 Oct 22:2024.10.18.619054. doi: 10.1101/2024.10.18.619054.","Jakobson CM","bioRxiv","2024","2024/11/01","PMC11526991","","10.1101/2024.10.18.619054"
"40777366","Recognition of small Tim chaperones by the mitochondrial Yme1 protease","Quispe-Carbajal M, Todd L, Glynn SE.","bioRxiv [Preprint]. 2025 Jul 24:2025.07.23.666395. doi: 10.1101/2025.07.23.666395.","Quispe-Carbajal M","bioRxiv","2025","2025/08/08","PMC12330661","","10.1101/2025.07.23.666395"
"38700511","Application of quantitative protein mass spectrometric data in the early predictive analysis of membrane-bound target engagement by monoclonal antibodies","Sepp A, Muliaditan M.","MAbs. 2024 Jan-Dec;16(1):2324485. doi: 10.1080/19420862.2024.2324485. Epub 2024 Mar 4.","Sepp A","MAbs","2024","2024/05/03","PMC10936618","","10.1080/19420862.2024.2324485"
"39386609","Bulk and selective autophagy cooperate to remodel a fungal proteome in response to changing nutrient availability","Telusma B, Farre JC, Cui DS, Subramani S, Davis JH.","bioRxiv [Preprint]. 2024 Sep 26:2024.09.24.614842. doi: 10.1101/2024.09.24.614842.","Telusma B","bioRxiv","2024","2024/10/10","PMC11463512","","10.1101/2024.09.24.614842"
"39665261","Amino acid sequence encodes protein abundance shaped by protein stability at reduced synthesis cost","Buric F, Viknander S, Fu X, Lemke O, Carmona OG, Zrimec J, Szyrwiel L, Mülleder M, Ralser M, Zelezniak A.","Protein Sci. 2025 Jan;34(1):e5239. doi: 10.1002/pro.5239.","Buric F","Protein Sci","2025","2024/12/12","PMC11635393","","10.1002/pro.5239"
"39932190","Bone marrow mesenchymal stromal cells support translation in refractory acute myeloid leukemia","Lisi-Vega LE, Pievani A, García-Fernández M, Forte D, Williams TL, Serafini M, Méndez-Ferrer S.","Cell Rep. 2025 Jan 28;44(1):115151. doi: 10.1016/j.celrep.2024.115151. Epub 2024 Dec 28.","Lisi-Vega LE","Cell Rep","2025","2025/02/11","PMC7617453","EMS203146","10.1016/j.celrep.2024.115151"
"39353940","Cellular location shapes quaternary structure of enzymes","Abrusán G, Zelezniak A.","Nat Commun. 2024 Oct 1;15(1):8505. doi: 10.1038/s41467-024-52662-2.","Abrusán G","Nat Commun","2024","2024/10/01","PMC11445431","","10.1038/s41467-024-52662-2"
"40585300","Why AGG is associated with high transgene output: passenger effects and their implications for transgene design","Daniels KG, Radrizzani S, Hurst LD.","NAR Genom Bioinform. 2025 Jun 19;7(2):lqaf086. doi: 10.1093/nargab/lqaf086. eCollection 2025 Jun.","Daniels KG","NAR Genom Bioinform","2025","2025/06/30","PMC12204400","","10.1093/nargab/lqaf086"
"41145411","CRL4(DCAF12) regulation of MCMBP ensures optimal licensing of DNA replication","Yadav AK, Abdirov A, Ondruskova K, Negi S, Jamrichova K, Kolarova K, Dibus N, Krejci J, Polasek-Sedlackova H, Cermak L.","Nat Commun. 2025 Oct 27;16(1):9391. doi: 10.1038/s41467-025-64258-5.","Yadav AK","Nat Commun","2025","2025/10/28","PMC12559739","","10.1038/s41467-025-64258-5"
"37853253","Synthesis and evaluation of a novel PET ligand, a GSK'963 analog, aiming at autoradiography and imaging of the receptor interacting protein kinase 1 in the brain","Ikenuma H, Ogata A, Koyama H, Ji B, Ishii H, Yamada T, Abe J, Seki C, Nagai Y, Ichise M, Minamimoto T, Higuchi M, Zhang MR, Kato T, Ito K, Suzuki M, Kimura Y.","EJNMMI Radiopharm Chem. 2023 Oct 18;8(1):31. doi: 10.1186/s41181-023-00217-z.","Ikenuma H","EJNMMI Radiopharm Chem","2023","2023/10/18","PMC10584749","","10.1186/s41181-023-00217-z"
"39358380","Cell fixation improves performance of in situ crosslinking mass spectrometry while preserving cellular ultrastructure","Michael ARM, Amaral BC, Ball KL, Eiriksson KH, Schriemer DC.","Nat Commun. 2024 Oct 2;15(1):8537. doi: 10.1038/s41467-024-52844-y.","Michael ARM","Nat Commun","2024","2024/10/02","PMC11447256","","10.1038/s41467-024-52844-y"
"39169181","Visualizing chaperonin function in situ by cryo-electron tomography","Wagner J, Carvajal AI, Bracher A, Beck F, Wan W, Bohn S, Körner R, Baumeister W, Fernandez-Busnadiego R, Hartl FU.","Nature. 2024 Sep;633(8029):459-464. doi: 10.1038/s41586-024-07843-w. Epub 2024 Aug 21.","Wagner J","Nature","2024","2024/08/21","PMC11390479","","10.1038/s41586-024-07843-w"
"40223272","The physiological limits of bispecific monoclonal antibody tissue targeting specificity","Sepp A, Stader F, Derbalah A, Liu C, Zyla A, Gardner I, Jamei M.","MAbs. 2025 Dec;17(1):2492236. doi: 10.1080/19420862.2025.2492236. Epub 2025 Apr 13.","Sepp A","MAbs","2025","2025/04/14","PMC12005452","","10.1080/19420862.2025.2492236"
"38948853","The effectiveness of selection in a species affects the direction of amino acid frequency evolution","McShea H, Wheeler AL, Goodman P, Weibel C, Wehbi S, James JE, Huttley G, Masel J.","bioRxiv [Preprint]. 2025 May 10:2023.02.01.526552. doi: 10.1101/2023.02.01.526552.","McShea H","bioRxiv","2025","2024/07/01","PMC11212923","","10.1101/2023.02.01.526552"
"41082574","A compact model of Escherichia coli core and biosynthetic metabolism","Corrao M, He H, Liebermeister W, Noor E, Bar-Even A.","PLoS Comput Biol. 2025 Oct 13;21(10):e1013564. doi: 10.1371/journal.pcbi.1013564. eCollection 2025 Oct.","Corrao M","PLoS Comput Biol","2025","2025/10/13","PMC12533975","","10.1371/journal.pcbi.1013564"
"39456937","Computational Strategies for Assessing Adverse Outcome Pathways: Hepatic Steatosis as a Case Study","Ortega-Vallbona R, Palomino-Schätzlein M, Tolosa L, Benfenati E, Ecker GF, Gozalbes R, Serrano-Candelas E.","Int J Mol Sci. 2024 Oct 17;25(20):11154. doi: 10.3390/ijms252011154.","Ortega-Vallbona R","Int J Mol Sci","2024","2024/10/26","PMC11508863","","10.3390/ijms252011154"
"39430745","Identification of Rv1133c (MetE) as a marker of Mycobacterium tuberculosis replication and as a highly immunogenic antigen with potential immunodiagnostic power","Iacobino A, Teloni R, Mancone C, Facchiano F, Di Giamberardino A, Senatore C, Di Virgilio A, Lanni A, Giannoni F, Nisini R, Mariotti S.","Front Immunol. 2024 Oct 4;15:1464923. doi: 10.3389/fimmu.2024.1464923. eCollection 2024.","Iacobino A","Front Immunol","2024","2024/10/21","PMC11486704","","10.3389/fimmu.2024.1464923"
"39543771","Filamentous fungi as emerging cell factories for the production of aromatic compounds","Umashankar P, Nygård Y.","Fungal Biol Biotechnol. 2024 Nov 14;11(1):19. doi: 10.1186/s40694-024-00188-z.","Umashankar P","Fungal Biol Biotechnol","2024","2024/11/15","PMC11566741","","10.1186/s40694-024-00188-z"
"40196589","The Cia1 and Cia2 subunits of the CTC mediate recognition of apo-FeS proteins with a C-terminal targeting complex recognition motif","Buzuk A, Marquez MD, Ho JV, Liu Y, Wang B, Qi CC, Perlstein DL.","bioRxiv [Preprint]. 2025 Mar 25:2025.03.25.645274. doi: 10.1101/2025.03.25.645274.","Buzuk A","bioRxiv","2025","2025/04/08","PMC11974842","","10.1101/2025.03.25.645274"
"39616174","Paradigm of engineering recalcitrant non-model microorganism with dominant metabolic pathway as a biorefinery chassis","Yan X, Bao W, Wu Y, Zhang C, Mao Z, Yuan Q, Hu Z, He P, Peng Q, Hu M, Geng B, Ma H, Chen S, Fei Q, He Q, Yang S.","Nat Commun. 2024 Nov 30;15(1):10441. doi: 10.1038/s41467-024-54897-5.","Yan X","Nat Commun","2024","2024/11/30","PMC11608335","","10.1038/s41467-024-54897-5"
"39163330","Rag-Ragulator is the central organizer of the physical architecture of the mTORC1 nutrient-sensing pathway","Valenstein ML, Lalgudi PV, Gu X, Kedir JF, Taylor MS, Chivukula RR, Sabatini DM.","Proc Natl Acad Sci U S A. 2024 Aug 27;121(35):e2322755121. doi: 10.1073/pnas.2322755121. Epub 2024 Aug 20.","Valenstein ML","Proc Natl Acad Sci U S A","2024","2024/08/20","PMC11363303","","10.1073/pnas.2322755121"
"40304068","Mapping the Interactome of OSCC Prognostic-Associated Proteins NDRG1 and PGK1 Through Proximity Labeling Using TurboID","Câmara GA, Yokoo S, Granato DC, Simabuco FM, Ribeiro-Filho HV, Melo RM, Pauletti BA, Nascimento Filho EG, Domingues RR, Paes Leme AF.","J Proteome Res. 2025 Jun 6;24(6):2741-2756. doi: 10.1021/acs.jproteome.4c01039. Epub 2025 Apr 30.","Câmara GA","J Proteome Res","2025","2025/04/30","PMC12151068","","10.1021/acs.jproteome.4c01039"
"40628847","Pex3 promotes formation of peroxisome-peroxisome and peroxisome-lipid droplet contact sites","Amado L, Percifull L, Franzkoch R, Flatemersch V, Brüggemann EJ, Psathaki OE, Schuldiner M, Bohnert M, Bülow MH, González Montoro A.","Sci Rep. 2025 Jul 8;15(1):24480. doi: 10.1038/s41598-025-07934-2.","Amado L","Sci Rep","2025","2025/07/08","PMC12238565","","10.1038/s41598-025-07934-2"
"40640210","HP1 loses its chromatin clustering and phase separation function across evolution","Bensaha S, Lewandowska D, Muzzopappa F, Hutin S, Tully MD, Anfossi M, Cammas FM, Normand C, Erdel F.","Nat Commun. 2025 Jul 10;16(1):6375. doi: 10.1038/s41467-025-61749-3.","Bensaha S","Nat Commun","2025","2025/07/10","PMC12246093","","10.1038/s41467-025-61749-3"
"40773290","A ratiometric catalog of protein isoform shifts in the cardiac fetal gene program","Han Y, Binti S, Wennersten SA, Pandi B, Ng DC, Lau E, Lam MP.","JCI Insight. 2025 Aug 7;10(18):e184309. doi: 10.1172/jci.insight.184309. eCollection 2025 Sep 23.","Han Y","JCI Insight","2025","2025/08/07","PMC12487847","","10.1172/jci.insight.184309"
"39593238","Dynamic Cellular Proteome Remodeling during SARS-CoV-2 Infection. Identification of Plasma Protein Readouts","Dos Santos FM, Vindel-Alfageme J, Ciordia S, Castro V, Orera I, Garaigorta U, Gastaminza P, Corrales F.","J Proteome Res. 2025 Jan 3;24(1):171-188. doi: 10.1021/acs.jproteome.4c00566. Epub 2024 Nov 26.","Dos Santos FM","J Proteome Res","2025","2024/11/27","PMC11705369","","10.1021/acs.jproteome.4c00566"
