	Usage	Other mentions	Year		Purpose
The protein expression profile of ACE2 in human tissues	Tissue-specific abundance of ACE2	ProteomicsDB	2020	https://www.embopress.org/doi/full/10.15252/msb.20209610	
"Selective Autophagy: ATG8 Family Proteins, LIR Motifs and Cargo Receptors"	The number of NBR1 molecules in a cell is generally much lower than the number of p62 molecules (human)		2020	https://www.sciencedirect.com/science/article/pii/S0022283619304450	
Dual RNA-seq of Orientia tsutsugamushi informs on host-pathogen interactions for this neglected intracellular human pathogen	integrated protein abundance for E. coli K-12 MG1655 data from PaxDB	"jPOSTrepo (Japan ProteOme STandard Repository) is a new data repository of sharing MS raw/processed data. 	1044 projects are registered. 634 are opened.	79572 files amount to 34.8 TB. 170 species.(https://repository.jpostdb.org)"	2020	https://www.nature.com/articles/s41467-020-17094-8	
An organelle-specific protein landscape identifies novel diseases and molecular mechanisms	"Although we did not determine stoichiometries of the complexes, comparison of known protein levels across many cell types shows that they are nevertheless stoichiometrically logical: there are few complex cores where one component has a wildly different abundance from the others. Overall, the median differences in abundancies are significantly lower (t-test P<0.0001) when looking at proteins within complexes (23.6 p.p.m.) compared with those between complexes (126 p.p.m.) or involving proteins that were detected in the screen but not in any significant interactions (140 p.p.m.). This suggests that the socioaffinity filtering is effective at removing non-specific components and identifying complexes that are stoichiometrically sensible."		2016	https://www.nature.com/articles/ncomms11491	Stoichiometry 
Proteome constraints reveal targets for improving microbial fitness in nutrient-rich environments	pcLactis accounts for approximately 60% of the total proteome by mass 		2021	https://www.embopress.org/doi/full/10.15252/msb.202010093	
Who with whom: functional coordination of E2 enzymes by RING E3 ligases during poly-ubiquitylation	both E2s appear to be expressed at roughly similar levels 		2020	https://www.embopress.org/doi/full/10.15252/embj.2020104863	
"Selective Autophagy: ATG8 Family Proteins, LIR Motifs and Cargo Receptors"	The number of NBR1 molecules in a cell is generally much lower than the number of p62 molecules		2020	https://www.sciencedirect.com/science/article/pii/S0022283619304450	
Pathogenic missense protein variants affect different functional pathways and proteomic features than healthy population variants	protein abundance data for various organs from PaxDb		2021	https://journals.plos.org/plosbiology/article?id=10.1371/journal.pbio.3001207	
The physiological response of photosynthesis to nitrogen deficiency	"N distribution within leaf in spinach, rice and Arabidopsis"		2021	https://www.sciencedirect.com/science/article/pii/S0981942820305702#bib85	
Aspartate aminotransferase Rv3722c governs aspartate-dependent nitrogen metabolism in Mycobacterium tuberculosis	Proteomics analysis also revealed that Rv3722c numbers among the top 10–25% of most abundant proteins in Mtb		2020	https://www.nature.com/articles/s41467-020-15876-8	
Distinct Features of Stress Granule Proteins Predict Localization in Membraneless Organelles	"Protein abundance, reported from the integrated proteomes on PaxDB of the yeast and human SG proteins compared with cytoplasmic controls (Cyto), as determined from annotation on UniProt. SG = stress granule; SGome = stress granuleome"		2020	https://www.sciencedirect.com/science/article/pii/S0022283620301935	
BraInMap Elucidates the Macromolecular Connectivity Landscape of Mammalian Brain	average abundance in brain according to PAXdb 		2020	https://www.sciencedirect.com/science/article/pii/S2405471220301095	
GTP metabolic reprogramming by IMPDH2: unlocking cancer cells’ fuelling mechanism 	Comparison of the expression levels of IMPDH isozymes among tissues.		2020	https://academic.oup.com/jb/article/168/4/319/5875611?login=true	
On the specificity of protein–protein interactions in the context of disorder	We simulated TAD2-binding ligands concentrations and their total cellular concentrations in two different cell lines (HEK293 and HeLa cells) 		2021	https://portlandpress.com/biochemj/article/478/11/2035/228972/On-the-specificity-of-protein-protein-interactions	
Improving lysine production through construction of an Escherichia coli enzyme-constrained model	"protein abundance data, used for constraining enzyme levels in the model E.coli"		2020	https://onlinelibrary.wiley.com/doi/full/10.1002/bit.27485	
Mitochondria and Peroxisome Remodeling across Cytomegalovirus Infection Time Viewed through the Lens of Inter-ViSTA	proteins expressed in HEK293 cells		2020	https://www.sciencedirect.com/science/article/pii/S2211124720309244	
RNA-binding and prion domains: the Yin and Yang of phase separation 	Abundance of interactors	BioGRID databases (interaction)	2020	https://academic.oup.com/nar/article/48/17/9491/5898611?login=true	Support that “expression of genes with a large number of partners should be tightly controlled (lower abundance) to avoid massive aggregation”
Hierarchized phosphotarget binding by the seven human 14-3-3 isoforms	"14-3-3 proteins are highly abundant in most human tissues, where several 14-3-3 isoforms are systematically found among the top 1% of the ~20,000 human gene-encoded proteins"		2021	https://www.nature.com/articles/s41467-021-21908-8	
Frequent Assembly of Chimeric Complexes in the Protein Interaction Network of an Interspecies Yeast Hybrid 	Reference for abundance in Saccharomyces species	PeptideAtlas (Desiere et al. 2006).	2021	https://academic.oup.com/mbe/article/38/4/1384/6012367?login=true	
